m,count
0.006,1236.0
1.011,7191.0
2.019,2161.0
3.026,70.0
6.002000000000001,723.0
11.999,222.0
15.995999999999999,218.0
17.007,555.0
18.016,113.0
19.019,72.0
22.999000000000002,61.0
23.997,197.0
24.974,676.0
25.97,11115.0
26.469,1328.0
26.967,1171.0
27.965,11768.0
28.456,408.0
28.976,1871.0
29.961,744.0
30.465999999999998,72.0
30.971,134.0
31.951,118.0
32.943000000000005,164.0
33.944,2368.0
34.438,371.0
34.95,143.0
35.972,61.0
41.943999999999996,217.0
42.45399999999999,159.0
42.95399999999999,71.0
47.966,87.0
51.931,538.0
52.927,89.0
57.93700000000001,2067.0
59.93400000000001,811.0
60.951,68.0
61.925,133.0
63.916,81.0
63.92100000000001,81.0
67.902,189.0
68.92,172.0
83.887,134.0
84.906,68.0
